x_pos,y_pos,z_pos,joint1_angle,joint2_angle,joint3_angle,joint4_angle
0.206325,-0.100000,0.150000,-0.475262,-0.364356,0.453887,0.263489
0.205944,-0.100000,0.155000,-0.476060,-0.376586,0.446970,0.257994
0.205592,-0.100000,0.160000,-0.476799,-0.387731,0.439374,0.251983
0.205269,-0.100000,0.165000,-0.477482,-0.397800,0.431122,0.245444
0.204972,-0.100000,0.170000,-0.478108,-0.406811,0.422278,0.238295
0.204703,-0.100000,0.175000,-0.478680,-0.414810,0.413044,0.230225
0.204459,-0.100000,0.180000,-0.479198,-0.421747,0.403131,0.221731
0.204239,-0.100000,0.185000,-0.479665,-0.427301,0.390704,0.215923
0.204044,-0.100000,0.190000,-0.480081,-0.431979,0.378379,0.208449
0.203872,-0.100000,0.195000,-0.480449,-0.435664,0.365459,0.200494
0.203721,-0.100000,0.200000,-0.480770,-0.438395,0.352094,0.191825
0.203592,-0.100000,0.205000,-0.481047,-0.440156,0.338116,0.182738
0.203482,-0.100000,0.210000,-0.481282,-0.440960,0.323493,0.173303
0.203391,-0.100000,0.215000,-0.481477,-0.440823,0.308231,0.163525
0.203318,-0.100000,0.220000,-0.481634,-0.439765,0.292359,0.153364
0.203261,-0.100000,0.225000,-0.481757,-0.437786,0.275749,0.143050
0.203219,-0.100000,0.230000,-0.481847,-0.434911,0.258455,0.132498
0.203190,-0.100000,0.235000,-0.481910,-0.431145,0.240369,0.121906
0.203172,-0.100000,0.240000,-0.481947,-0.426521,0.221631,0.111025
0.203164,-0.100000,0.245000,-0.481965,-0.421053,0.202210,0.099913
0.203162,-0.100000,0.250000,-0.481969,-0.414763,0.182126,0.088535
0.203164,-0.100000,0.255000,-0.481965,-0.407665,0.161352,0.076934
0.203172,-0.100000,0.260000,-0.481947,-0.399735,0.139852,0.065108
0.203190,-0.100000,0.265000,-0.481910,-0.390949,0.117587,0.053045
0.203219,-0.100000,0.270000,-0.481847,-0.381282,0.094507,0.040757
0.203261,-0.100000,0.275000,-0.481756,-0.370709,0.070564,0.028246
0.203318,-0.100000,0.280000,-0.481634,-0.359202,0.045708,0.015509
0.203391,-0.100000,0.285000,-0.481477,-0.346730,0.019883,0.002538
0.203482,-0.100000,0.290000,-0.481282,-0.333256,-0.006974,-0.010673
0.203592,-0.100000,0.295000,-0.481047,-0.318739,-0.034934,-0.024135
0.203721,-0.100000,0.300000,-0.480770,-0.303127,-0.064082,-0.037859
0.203872,-0.100000,0.305000,-0.480449,-0.286362,-0.094511,-0.051861
0.204044,-0.100000,0.310000,-0.480081,-0.268370,-0.126335,-0.066164
0.204239,-0.100000,0.315000,-0.479665,-0.249064,-0.159685,-0.080797
0.204459,-0.100000,0.320000,-0.479198,-0.228338,-0.194720,-0.095794
0.204703,-0.100000,0.325000,-0.478680,-0.206059,-0.231626,-0.111219
0.204972,-0.100000,0.330000,-0.478108,-0.182060,-0.270655,-0.127099
0.205269,-0.100000,0.335000,-0.477482,-0.156128,-0.312102,-0.143530
0.205592,-0.100000,0.340000,-0.476799,-0.127982,-0.356348,-0.160632
0.205944,-0.100000,0.345000,-0.476060,-0.097249,-0.403921,-0.178529
0.206325,-0.100000,0.350000,-0.475262,-0.063404,-0.455535,-0.197426
0.205944,-0.095000,0.150000,-0.455480,-0.384221,0.467387,0.272397
0.205563,-0.095000,0.155000,-0.456257,-0.396538,0.460476,0.266772
0.205212,-0.095000,0.160000,-0.456976,-0.407754,0.452891,0.260619
